heightmap_id,category,terrace_steps,steps_4,steps_6,steps_8,steps_10,steps_12,steps_16,gamma,edge_sigma,morph_strength,contrast,homogeneity,energy,correlation,entropy,height_mean,height_std,hist_entropy,gradient_mean
Bark__bark 13_height,Bark,10,0,0,0,1,0,0,2.000000,4.500000,0.500000,5.533453,0.555298,0.070310,0.986002,2.564972,0.378265,0.223237,5.968750,0.011569
Bark__bark 13_height,Bark,12,0,0,0,0,1,0,0.500000,0.500000,0.500000,4.873012,0.784564,0.302681,0.972235,0.856311,0.757337,0.147358,3.896782,0.007899
Bark__bark 13_height,Bark,12,0,0,0,0,1,0,0.500000,3.000000,2.000000,0.450244,0.885472,0.291319,0.989118,0.512529,0.853327,0.070543,2.461292,0.002089
Bark__bark 13_height,Bark,12,0,0,0,0,1,0,0.500000,4.500000,2.000000,0.418983,0.875728,0.228764,0.990200,0.496422,0.844286,0.071699,2.461292,0.002178
Bark__bark 13_height,Bark,12,0,0,0,0,1,0,0.500000,0.500000,2.000000,1.077463,0.939286,0.514144,0.973147,0.233537,0.864069,0.068428,1.590737,0.001936
Bark__bark 13_height,Bark,12,0,0,0,0,1,0,1.000000,1.500000,0.500000,5.827246,0.601521,0.111057,0.982656,2.667052,0.587749,0.205809,5.757660,0.011115
Bark__bark 13_height,Bark,12,0,0,0,0,1,0,1.000000,4.500000,2.000000,0.915509,0.824247,0.176757,0.991144,1.100236,0.715156,0.113951,3.994032,0.003488
Bark__bark 13_height,Bark,12,0,0,0,0,1,0,1.500000,0.500000,1.500000,3.753258,0.829277,0.277008,0.983707,1.144663,0.593077,0.169730,4.154744,0.006200
Bark__bark 13_height,Bark,12,0,0,0,0,1,0,1.500000,1.500000,2.000000,1.703907,0.820657,0.221664,0.988923,1.767690,0.640686,0.139715,4.649397,0.004339
Bark__bark 13_height,Bark,12,0,0,0,0,1,0,1.500000,3.000000,1.000000,3.898664,0.651315,0.094123,0.987751,2.512767,0.513848,0.200037,5.818599,0.008740
Bark__bark 13_height,Bark,12,0,0,0,0,1,0,2.000000,1.500000,2.000000,2.256065,0.799233,0.177788,0.989039,2.181251,0.559115,0.160512,5.167141,0.005090
Bark__bark 13_height,Bark,12,0,0,0,0,1,0,2.000000,4.500000,0.500000,5.509289,0.555356,0.068479,0.986063,2.566085,0.378334,0.223237,6.000000,0.011541
Bark__bark 13_height,Bark,16,0,0,0,0,0,1,0.500000,0.500000,0.500000,3.945072,0.739951,0.237570,0.977338,1.038635,0.756813,0.148091,3.798727,0.007977
Bark__bark 13_height,Bark,16,0,0,0,0,0,1,0.500000,3.000000,2.000000,0.406075,0.885621,0.314970,0.989159,0.510221,0.850752,0.068364,2.461292,0.002066
Bark__bark 13_height,Bark,16,0,0,0,0,0,1,0.500000,4.500000,2.000000,0.383821,0.881709,0.264749,0.990208,0.494164,0.843279,0.069666,2.461292,0.002113
Bark__bark 13_height,Bark,16,0,0,0,0,0,1,0.500000,0.500000,2.000000,0.800698,0.922067,0.453673,0.979289,0.319693,0.863662,0.068177,1.701238,0.001983
Bark__bark 13_height,Bark,16,0,0,0,0,0,1,1.000000,1.500000,0.500000,5.587532,0.590778,0.086415,0.983144,2.610637,0.587912,0.204519,5.757660,0.011042
Bark__bark 13_height,Bark,16,0,0,0,0,0,1,1.000000,4.500000,2.000000,0.888994,0.827172,0.175204,0.991194,1.088252,0.715201,0.113061,3.994032,0.003450
Bark__bark 13_height,Bark,16,0,0,0,0,0,1,1.500000,0.500000,1.500000,3.136187,0.789740,0.196380,0.986384,1.298353,0.594367,0.169461,4.649397,0.006316
Bark__bark 13_height,Bark,16,0,0,0,0,0,1,1.500000,1.500000,2.000000,1.626264,0.807398,0.172988,0.989794,1.774600,0.640891,0.141364,4.649397,0.004436
Bark__bark 13_height,Bark,16,0,0,0,0,0,1,1.500000,3.000000,1.000000,3.891982,0.650116,0.089792,0.987758,2.535151,0.514009,0.200166,5.818599,0.008761
Bark__bark 13_height,Bark,16,0,0,0,0,0,1,2.000000,1.500000,2.000000,2.169163,0.792100,0.156179,0.989513,2.223472,0.558782,0.161590,5.167141,0.005123
Bark__bark 13_height,Bark,16,0,0,0,0,0,1,2.000000,4.500000,0.500000,5.498283,0.556381,0.067703,0.986039,2.534523,0.378385,0.222933,5.968750,0.011528
Bark__bark 24_height,Bark,4,1,0,0,0,0,0,0.500000,0.500000,0.500000,17.338806,0.891825,0.565614,0.949551,1.115451,0.775738,0.206571,3.194923,0.008946
Bark__bark 24_height,Bark,4,1,0,0,0,0,0,0.500000,3.000000,2.000000,1.612904,0.878631,0.396875,0.988898,0.776467,0.884883,0.133163,2.461292,0.003181
Bark__bark 24_height,Bark,4,1,0,0,0,0,0,0.500000,4.500000,2.000000,1.183995,0.856842,0.295906,0.990870,0.619655,0.873350,0.125707,2.461292,0.003201
Bark__bark 24_height,Bark,4,1,0,0,0,0,0,0.500000,0.500000,2.000000,5.997811,0.955008,0.681957,0.966912,0.481859,0.896801,0.149136,1.590737,0.003325
Bark__bark 24_height,Bark,4,1,0,0,0,0,0,1.000000,1.500000,0.500000,11.231216,0.768037,0.369858,0.972787,3.056608,0.629004,0.227140,6.000000,0.010359
Bark__bark 24_height,Bark,4,1,0,0,0,0,0,1.000000,4.500000,2.000000,1.481594,0.850847,0.392583,0.986503,0.874353,0.739852,0.115946,2.884043,0.003554
Bark__bark 24_height,Bark,4,1,0,0,0,0,0,1.500000,0.500000,1.500000,12.587776,0.908520,0.551810,0.961059,1.077116,0.623566,0.201219,3.091917,0.006825
